,Time,Station,Temperature
123,1959-02-01,AMUNDSEN-SCOT,-28.1
124,1959-02-01,HALLEY,-5.5
125,1959-02-01,ROTHERA POINT,1.3
126,1959-02-01,VOSTOK,-36.2
127,1959-02-01,MCMURDO,-2.7
128,1959-03-01,AMUNDSEN-SCOT,-39.0
129,1959-03-01,HALLEY,-10.3
130,1959-03-01,ROTHERA POINT,-1.7
131,1959-03-01,SYOWA,-4.4
132,1959-03-01,VOSTOK,-43.7
133,1959-03-01,MCMURDO,-9.7
134,1959-04-01,AMUNDSEN-SCOT,-54.0
135,1959-04-01,HALLEY,-19.8
136,1959-04-01,ROTHERA POINT,0.1
137,1959-04-01,SYOWA,-5.5
138,1959-04-01,VOSTOK,-52.9
139,1959-04-01,MCMURDO,-17.0
140,1959-05-01,AMUNDSEN-SCOT,-54.3
141,1959-05-01,HALLEY,-21.8
142,1959-05-01,SYOWA,-10.1
143,1959-05-01,VOSTOK,-61.8
144,1959-05-01,MCMURDO,-20.4
145,1959-06-01,AMUNDSEN-SCOT,-55.5
146,1959-06-01,HALLEY,-18.9
147,1959-06-01,ROTHERA POINT,-13.1
148,1959-06-01,SYOWA,-14.6
149,1959-06-01,VOSTOK,-64.7
150,1959-06-01,MCMURDO,-25.4
151,1959-07-01,AMUNDSEN-SCOT,-59.2
152,1959-07-01,HALLEY,-32.0
153,1959-07-01,ROTHERA POINT,-5.3
154,1959-07-01,SYOWA,-13.3
155,1959-07-01,VOSTOK,-66.3
156,1959-07-01,MCMURDO,-23.7
157,1959-08-01,AMUNDSEN-SCOT,-58.5
158,1959-08-01,HALLEY,-29.0
159,1959-08-01,ROTHERA POINT,-20.5
160,1959-08-01,SYOWA,-16.3
161,1959-08-01,VOSTOK,-68.4
162,1959-08-01,MCMURDO,-23.8
163,1959-09-01,AMUNDSEN-SCOT,-58.5
164,1959-09-01,HALLEY,-28.8
165,1959-09-01,ROTHERA POINT,-11.0
166,1959-09-01,SYOWA,-19.2
167,1959-09-01,VOSTOK,-69.6
168,1959-09-01,MCMURDO,-31.0
169,1959-10-01,AMUNDSEN-SCOT,-61.2
170,1959-10-01,HALLEY,-32.2
171,1959-10-01,ROTHERA POINT,-9.7
172,1959-10-01,SYOWA,-21.7
173,1959-10-01,VOSTOK,-68.4
174,1959-10-01,MCMURDO,-25.4
175,1959-11-01,AMUNDSEN-SCOT,-50.5
176,1959-11-01,HALLEY,-20.7
177,1959-11-01,ROTHERA POINT,-2.3
178,1959-11-01,SYOWA,-12.7
179,1959-11-01,VOSTOK,-57.6
180,1959-11-01,MCMURDO,-24.9
181,1959-12-01,AMUNDSEN-SCOT,-40.2
182,1959-12-01,HALLEY,-13.5
183,1959-12-01,ROTHERA POINT,-2.7
184,1959-12-01,SYOWA,-9.2
185,1959-12-01,VOSTOK,-44.5
186,1959-12-01,MCMURDO,-11.7
187,1960-01-01,AMUNDSEN-SCOT,-28.2
188,1960-01-01,HALLEY,-6.0
189,1960-01-01,ROTHERA POINT,2.9
190,1960-01-01,SYOWA,-2.2
191,1960-01-01,VOSTOK,-31.1
192,1960-01-01,MCMURDO,-2.7
193,1960-02-01,AMUNDSEN-SCOT,-29.9
194,1960-02-01,HALLEY,-6.8
195,1960-02-01,SYOWA,-0.8
196,1960-02-01,VOSTOK,-35.2
197,1960-02-01,MCMURDO,-6.1
198,1960-03-01,AMUNDSEN-SCOT,-39.2
199,1960-03-01,HALLEY,-13.6
200,1960-03-01,SYOWA,-4.7
201,1960-03-01,VOSTOK,-43.7
202,1960-03-01,MCMURDO,-11.1
203,1960-04-01,AMUNDSEN-SCOT,-57.2
204,1960-04-01,HALLEY,-19.1
205,1960-04-01,SYOWA,-7.5
206,1960-04-01,VOSTOK,-61.8
207,1960-04-01,MCMURDO,-20.7
208,1960-05-01,AMUNDSEN-SCOT,-56.0
209,1960-05-01,HALLEY,-20.2
210,1960-05-01,SYOWA,-9.8
211,1960-05-01,VOSTOK,-67.6
212,1960-05-01,MCMURDO,-23.7
